class_id,name,star,tree_id,branch_slot,variant,parent_class_id,parent_rule,attribute_tag,level_cap_gain,fate_cost,level_cost,criteria,grants,description,is_monster_class,side,source_row,criteria_source,data_issue
apprentice_detective,Apprentice Detective,2,merchant,B,2,appraiser,SLOT_PAIR,,30,2,1,"Obtain 30 different pieces of hidden information, only those with base difficulty 30 are considered as ""hidden"", one single target can provide multiple pieces of information however, keep in mind that some hidden pieces are ""Fake information"" and thus do not count",Investigation Skill Levels,,,L,80,AUTHORED,
whisperer,Whisperer,2,merchant,D,2,apprentice_broker,SLOT_PAIR,,30,2,1,"Trade 50 pieces of information with a net value of 1 silver at least, trade at least 10 valuable secrets with a new value of 1 gold at least.",Streetwise Skll Levels,,,L,80,AUTHORED,
playboy,Playboy,2,merchant,E,2,*,ANY_LOWER_STAR_IN_TREE,,30,2,1,"Earn 40 gold in performing activities of social type, you must use your own body and time as part of the transaction and it cannot be delegated to others, this means that any social activity from simply conversation, scorting, theraphy and even all the way to a sex worker falls under this category, however, please keep in mind that any form of physical labor as part of the job such as ""waiting"", cleaning, or massaging are not considered part of this criteria.","Additional ""Temptation"" skill",,,L,80,AUTHORED,"Open-access column: this tree is narrower by setting (smaller cities/factions), so the column is reachable from any 1-star class, like slot G."
electric_monkey,Electric Monkey,2,engineer,A,1,grease_monkey,SLOT_PAIR,,10,2,1,"Convert, console or condemn 50 souls whose faith was not your own",,,,R,78,SUGGESTED,
clockmaker,Clockmaker,2,engineer,B,1,grease_monkey,SLOT_PAIR,,10,2,1,"Build, modify or repair 500 devices under field conditions",,,,R,78,SUGGESTED,
mana_gunsmith,Mana Gunsmith,2,engineer,C,1,apprentice_gunsmith,SLOT_PAIR,,10,2,1,"Build, load or repair 50 firearms with your own hands under field conditions",,,,R,78,SUGGESTED,
demolition_expert,Demolition Expert,2,engineer,D,1,apprentice_gunsmith,SLOT_PAIR,,10,2,1,"Build, modify or repair 500 devices under field conditions",,,,R,78,SUGGESTED,
researcher_engineer,Researcher Engineer,2,engineer,E,1,*,ANY_LOWER_STAR_IN_TREE,,10,2,1,Disassemble and fully understand 50 mechanisms you did not design,,,,R,78,SUGGESTED,"Open-access column: this tree is narrower by setting (smaller cities/factions), so the column is reachable from any 1-star class, like slot G."
superior_mechanic,Superior Mechanic,3,engineer,B,1,*,ANY_2STAR_IN_TREE,,,3,1,"Build, modify or repair 1000 devices under field conditions",,,,R,85,SUGGESTED,
superior_gunsmith,Superior Gunsmith,3,engineer,D,1,*,ANY_2STAR_IN_TREE,,,3,1,Land 1000 decisive shots at ranges where a miss would have cost you the fight,,,,R,85,SUGGESTED,
inventor,Inventor,3,engineer,E,1,*,ANY_2STAR_IN_TREE,,,3,1,Disassemble and fully understand 100 mechanisms you did not design,,,,R,85,SUGGESTED,
high_appraiser,High Appraiser,3,merchant,A,1,*,ANY_2STAR_IN_TREE,,10,3,1,"Appraise 1000 objects, persons or contracts correctly under pressure",,,,L,87,SUGGESTED,
adjudicator,Adjudicator,3,merchant,B,1,*,ANY_2STAR_IN_TREE,,10,3,1,Trade 200 Gold in net profit through negotiation rather than labour,,,,L,87,SUGGESTED,
high_broker,High Broker,3,merchant,C,1,*,ANY_2STAR_IN_TREE,,10,3,1,"Appraise 1000 objects, persons or contracts correctly under pressure",,,,L,87,SUGGESTED,
roving_trader,Roving Trader,3,merchant,D,1,*,ANY_2STAR_IN_TREE,,10,3,1,Trade 200 Gold in net profit through negotiation rather than labour,,,,L,87,SUGGESTED,
daredevil,Daredevil,3,merchant,E,1,*,ANY_2STAR_IN_TREE,,10,3,1,"Appraise 1000 objects, persons or contracts correctly under pressure",,,,L,87,SUGGESTED,
antiquary,Antiquary,3,merchant,A,2,*,ANY_2STAR_IN_TREE,,10,3,1,Trade 200 Gold in net profit through negotiation rather than labour,,,,L,90,SUGGESTED,
detective,Detective,3,merchant,B,2,*,ANY_2STAR_IN_TREE,,10,3,1,Uncover 100 deceptions that had already fooled someone else,,,,L,90,SUGGESTED,
rumormonger,Rumormonger,3,merchant,D,2,*,ANY_2STAR_IN_TREE,,10,3,1,Uncover 100 deceptions that had already fooled someone else,,,,L,90,SUGGESTED,
black_widow,Black Widow,3,merchant,E,2,*,ANY_2STAR_IN_TREE,,10,3,1,Obtain 1000 pieces of hidden information no one intended you to have,,,,L,90,SUGGESTED,
dynamo,Dynamo,3,engineer,A,1,*,ANY_2STAR_IN_TREE,,20,3,1,Disassemble and fully understand 100 mechanisms you did not design,,,,R,88,SUGGESTED,
enlighted_clockmaker,Enlighted Clockmaker,3,engineer,B,1,*,ANY_2STAR_IN_TREE,,20,3,1,"Build, modify or repair 1000 devices under field conditions",,,,R,88,SUGGESTED,
magic_artificer,Magic Artificer,3,engineer,C,1,*,ANY_2STAR_IN_TREE,,20,3,1,"Decipher, transcribe or correct 100 magical formulae, texts or inscriptions",,,,R,88,SUGGESTED,
bulldozer,Bulldozer,3,engineer,D,1,*,ANY_2STAR_IN_TREE,,20,3,1,"Build, modify or repair 1000 devices under field conditions",,,,R,88,SUGGESTED,
scientist,Scientist,3,engineer,E,1,*,ANY_2STAR_IN_TREE,,20,3,1,PENDING,,,,R,88,PENDING,
ghoul,Ghoul,0,ghoul,A,1,,,,,,,,,,Y,L,97,NOT_APPLICABLE,
corpse_eater,Corpse Eater,1,ghoul,A,1,ghoul,ROOT,STR,20,1,1,"Sustain yourself 10 days consuming nothing prepared, cooked or given",,,Y,L,101,SUGGESTED,
stalker_ghoul,Stalker Ghoul,1,ghoul,C,1,ghoul,ROOT,AGI,20,1,1,"Sustain yourself 10 days consuming nothing prepared, cooked or given",,,Y,L,101,SUGGESTED,
corpse_eating_demon,Corpse Eating Demon,2,ghoul,A,1,corpse_eater,SLOT_PAIR,,10,2,1,"Devour 100 complete humanoid bodies without monster qualities, which have been hunted and executed by yourself with no help. These bodies can only be 15 levels weaker than yourself. Superhumans are worth twice as much here.","Strenghtened Body, Mutations",,Y,L,109,AUTHORED,
brain_eater,Brain Eater,2,ghoul,B,1,corpse_eater,SLOT_PAIR,,10,2,1,"Devour 1000 humanoid brains with INT above 125+, level is irrelevant, must be fresh(1 hr)",Gain memories and even skills,,Y,L,109,AUTHORED,
geist_stalker,Geist Stalker,2,ghoul,C,1,stalker_ghoul,SLOT_PAIR,,10,2,1,"Defeat 100 opponents within 1 round of combat in single duel, with no help of any 3rd party. No level restriction. Killing and devouring is optional.",Fast & Silent Wallclimb,,Y,L,109,AUTHORED,
pale_horror,Pale Horror,2,ghoul,D,1,stalker_ghoul,SLOT_PAIR,,10,2,1,"Force a number of intelligent living begins with an added total of 2000 INT ammong the victims, and more than 200 of will to submit to you willingly with no damage to the victim.",Large Living Dead Boost,,Y,L,109,AUTHORED,
black_ghoul,Black Ghoul,2,ghoul,E,1,*,ANY_LOWER_STAR_IN_TREE,,10,2,1,"Receive a divine blessing as a Ghoul, and survive the Divine power for 7 days or more",Variant RARE Ability,,Y,L,109,AUTHORED,"Open-access column: this tree is narrower by setting (smaller cities/factions), so the column is reachable from any 1-star class, like slot G."
ghul_kin,Ghul-Kin,2,ghoul,A,2,corpse_eater,SLOT_PAIR,,,2,1,Devour 500 complete bodies bearing no monster qualities,,,Y,L,116,SUGGESTED,
necro_ghoul,Necro-Ghoul,2,ghoul,B,2,corpse_eater,SLOT_PAIR,,,2,1,"Sustain yourself 50 days consuming nothing prepared, cooked or given",,,Y,L,116,SUGGESTED,
aereal_horror,Aereal Horror,2,ghoul,C,2,stalker_ghoul,SLOT_PAIR,,,2,1,Devour 500 complete bodies bearing no monster qualities,,,Y,L,116,SUGGESTED,
mimic_stalker,Mimic Stalker,2,ghoul,D,2,stalker_ghoul,SLOT_PAIR,,,2,1,PENDING,,,Y,L,116,PENDING,
glowing_ghoul,Glowing Ghoul,2,ghoul,E,2,*,ANY_LOWER_STAR_IN_TREE,,,2,1,Devour 500 complete bodies bearing no monster qualities,,,Y,L,116,SUGGESTED,"Open-access column: this tree is narrower by setting (smaller cities/factions), so the column is reachable from any 1-star class, like slot G."
greater_corpse_eating_demon,Greater Corpse Eating Demon,3,ghoul,A,1,*,ANY_2STAR_IN_TREE,,20,3,1,"Sustain yourself 100 days consuming nothing prepared, cooked or given",,,Y,L,123,SUGGESTED,
evil_braniac_ghoul,Evil Braniac (Ghoul),3,ghoul,B,1,*,ANY_2STAR_IN_TREE,,20,3,1,Devour 1000 complete bodies bearing no monster qualities,,,Y,L,123,SUGGESTED,
nemesis_ghoul,Nemesis (Ghoul),3,ghoul,C,1,*,ANY_2STAR_IN_TREE,,10,3,1,"Sustain yourself 100 days consuming nothing prepared, cooked or given",,,Y,L,123,SUGGESTED,
nosferatu_ghoul,Nosferatu (Ghoul),3,ghoul,D,1,*,ANY_2STAR_IN_TREE,,10,3,1,Devour 1000 complete bodies bearing no monster qualities,,,Y,L,123,SUGGESTED,
black_crowned_ghoul,Black Crowned Ghoul,3,ghoul,E,1,*,ANY_2STAR_IN_TREE,,10,3,1,"Sustain yourself 100 days consuming nothing prepared, cooked or given",,,Y,L,123,SUGGESTED,
soultaker_ghoul,SoulTaker (Ghoul),3,ghoul,A,2,*,ANY_2STAR_IN_TREE,,20,3,1,Devour 1000 complete bodies bearing no monster qualities,,,Y,L,126,SUGGESTED,
ghoul_meister,Ghoul Meister,3,ghoul,B,2,*,ANY_2STAR_IN_TREE,,20,3,1,"Sustain yourself 100 days consuming nothing prepared, cooked or given",,,Y,L,126,SUGGESTED,
grimwing,Grimwing,3,ghoul,C,2,*,ANY_2STAR_IN_TREE,,10,3,1,Devour 1000 complete bodies bearing no monster qualities,,,Y,L,126,SUGGESTED,
faceless_horror,Faceless Horror,3,ghoul,D,2,*,ANY_2STAR_IN_TREE,,10,3,1,"Sustain yourself 100 days consuming nothing prepared, cooked or given",,,Y,L,126,SUGGESTED,
eldritch_ghoul,Eldritch Ghoul,3,ghoul,E,2,*,ANY_2STAR_IN_TREE,,10,3,1,Devour 1000 complete bodies bearing no monster qualities,,,Y,L,126,SUGGESTED,
dark_acolyte,Dark Acolyte,0,dark_acolyte,A,1,,,,,,,,,,,L,133,NOT_APPLICABLE,
dark_cleric,Dark Cleric,1,dark_acolyte,A,1,dark_acolyte,ROOT,CHA,30,1,1,"Convert, console or condemn 10 souls whose faith was not your own",,"Praise to the Dark, Become its vessel, Become its hand!",,L,137,SUGGESTED,
apprentice_shaman,Apprentice Shaman,1,dark_acolyte,C,1,dark_acolyte,ROOT,WIL,30,1,1,Commune with 100 spirits without once losing yourself to them,,"Awaken to the spiritual, call your spirits from beyond!",,L,137,SUGGESTED,
seer,Seer,1,dark_acolyte,E,1,dark_acolyte,ROOT,INT,30,1,1,"Receive and survive 10 visions, omens or contacts you did not initiate",,Peer into the world of the supernatural!,,L,137,SUGGESTED,
advanced_dark_truth_divine_piety_healing_skills,"Advanced (Dark & Truth Divine, Piety & Healing Skills )",1,dark_acolyte,A,2,dark_acolyte,ROOT,,,1,1,Accumulate 100 divine blessing from your actions,,,,L,140,AUTHORED,
advanced_dark_spirit_divine_spirit_sensitivity_piety_skills,"Advanced (Dark & Spirit Divine, Spirit Sensitivity & Piety Skills )",1,dark_acolyte,C,2,dark_acolyte,ROOT,,,1,1,"Summon and Control 10 spirits, if the spirit attack you it becomes void",,,,L,140,AUTHORED,
advanced_dark_truth_divine_spirit_sensitivity_healing_skills,"Advanced (Dark & Truth Divine, Spirit Sensitivity & Healing Skills)",1,dark_acolyte,E,2,dark_acolyte,ROOT,,,1,1,Spend 1000 Mana (MP) by casting only divine spells,,,,L,140,AUTHORED,
shadow_priestess,Shadow Priestess,2,dark_acolyte,A,1,dark_cleric,SLOT_PAIR,,40,2,1,The levels of DARK Divine Magic + Piety skills when added together sum 35 or above.,Dark Divine skill Level,,,L,145,AUTHORED,
dark_exorcist,Dark Exorcist,2,dark_acolyte,B,1,dark_cleric,SLOT_PAIR,,40,2,1,The levels of TRUTH Divine Magic + Piety skills when added together sum 35 or above.,Exorsism Keystone,,,L,145,AUTHORED,
dark_shaman,Dark Shaman,2,dark_acolyte,C,1,apprentice_shaman,SLOT_PAIR,,40,2,1,"Summon and Control 100 spirits, if the spirit attacks you it becomes void",Spirit Divine skill Level,,,L,145,AUTHORED,
shadow_herald,Shadow Herald,2,dark_acolyte,D,1,apprentice_shaman,SLOT_PAIR,,40,2,1,The levels of DARK Divine Magic + Spirit Sensitivity skills when added together sum 35 or above.,Nature Additional Skill,,,L,145,AUTHORED,
enlighted_seer,Enlighted Seer,2,dark_acolyte,E,1,seer,SLOT_PAIR,,40,2,1,Spend 3000 Mana (MP) by casting only divine spells,Truth Divine skill levels,,,L,145,AUTHORED,
psych_medium,Psych Medium,2,dark_acolyte,F,1,seer,SLOT_PAIR,,40,2,1,The levels of Truth Divine Magic + Spirit Sensitivity skills when added together sum 35 or above.,Psych Awakening Keystone,,,L,145,AUTHORED,
karmic_scholar,Karmic Scholar,2,dark_acolyte,G,1,*,ANY_LOWER_STAR_IN_TREE,,40,2,1,The Levels of Truth + Dark divine magic skill levels together are 30 or above.,Karmic Enlightment Keystone,,,L,145,AUTHORED,
battle_templar,Battle Templar,2,dark_acolyte,A,2,dark_cleric,SLOT_PAIR,,40,2,1,"Destroy 100 enemies of your faith using divine power, conversions count as double, enemies must have a 10 levels in difference at most. Piety skill level at 10 or more.",Battle Piety Keystone,,,L,152,AUTHORED,
bloodmoon_martyr,Bloodmoon Martyr,2,dark_acolyte,B,2,dark_cleric,SLOT_PAIR,,40,2,1,Accumulate 1000 divine blessing from your actions,Holy Moon Blood Keystone,,,L,152,AUTHORED,
fade_channeler,Fade Channeler,2,dark_acolyte,D,2,apprentice_shaman,SLOT_PAIR,,40,2,1,The levels of Piety + Spirit Sensitivity skills when added together sum 45 or above. Spirit divine or Dark divine is at least level 10 or more,Visage of Divinity Keystone,,,L,152,AUTHORED,
dark_monk,Dark Monk,2,dark_acolyte,E,2,seer,SLOT_PAIR,,40,2,1,Receive and Reject 100 curses or evil divine magic type attacks using your own divine powers,Enlighted Dark Physique Keystone,,,L,152,AUTHORED,
plague_doctor,Plague Doctor,2,dark_acolyte,F,2,seer,SLOT_PAIR,,40,2,1,The levels of DARK Divine Magic + Healing skills when added together sum 35 or above.,Shadow Control Keystone,,,L,152,AUTHORED,
doom_preacher,Doom Preacher,2,dark_acolyte,G,2,*,ANY_LOWER_STAR_IN_TREE,,40,2,1,Obtain 100 followers with a Loyalty rating of 40 or a Faith rating of 10,Words of Doom Keystone,,,L,152,AUTHORED,
high_priestess,High Priestess,3,dark_acolyte,A,1,*,ANY_2STAR_IN_TREE,,10,3,1,"Convert, console or condemn 100 souls whose faith was not your own",,,,L,159,SUGGESTED,
shadow_inquisitor,Shadow Inquisitor,3,dark_acolyte,B,1,*,ANY_2STAR_IN_TREE,,10,3,1,Accumulate 1000 divine blessing through acts consistent with your creed,,,,L,159,SUGGESTED,
great_shaman,Great Shaman,3,dark_acolyte,C,1,*,ANY_2STAR_IN_TREE,,10,3,1,Commune with 1000 spirits without once losing yourself to them,,,,L,159,SUGGESTED,
dark_acolyte_slot_d_3star_UNNAMED,(unnamed — copy error),3,dark_acolyte,D,1,*,ANY_2STAR_IN_TREE,,10,3,1,PENDING,,,,L,159,PENDING,"Source duplicated ""Ghost Walker"" from the Explorer tree. Correct name unknown; needs authoring."
shadow_oracle,Shadow Oracle,3,dark_acolyte,E,1,*,ANY_2STAR_IN_TREE,,10,3,1,"Receive and survive 100 visions, omens or contacts you did not initiate",,,,L,159,SUGGESTED,
dark_mystic,Dark Mystic,3,dark_acolyte,F,1,*,ANY_2STAR_IN_TREE,,10,3,1,PENDING,,,,L,159,PENDING,
onmyouji,Onmyouji,3,dark_acolyte,G,1,*,ANY_2STAR_IN_TREE,,10,3,1,PENDING,,,,L,159,PENDING,
dark_valkyrie,Dark Valkyrie,3,dark_acolyte,A,2,*,ANY_2STAR_IN_TREE,,10,3,1,PENDING,,,,L,162,PENDING,
holy_maiden,Holy Maiden,3,dark_acolyte,B,2,*,ANY_2STAR_IN_TREE,,10,3,1,"Convert, console or condemn 100 souls whose faith was not your own",,,,L,162,SUGGESTED,
dream_eater,Dream Eater,3,dark_acolyte,C,2,*,ANY_2STAR_IN_TREE,,10,3,1,"Spend 10000 Mana (MP) on divination, dream or pact workings alone",,,,L,162,SUGGESTED,
divinate_divine_vessel,Divinate (Divine Vessel),3,dark_acolyte,D,2,*,ANY_2STAR_IN_TREE,,10,3,1,"Receive and survive 100 visions, omens or contacts you did not initiate",,,,L,162,SUGGESTED,
psych_ascetic,Psych Ascetic,3,dark_acolyte,E,2,*,ANY_2STAR_IN_TREE,,10,3,1,Summon and control 100 spirits; any that turn on you count as void,,,,L,162,SUGGESTED,
spirit_doctor,Spirit Doctor,3,dark_acolyte,F,2,*,ANY_2STAR_IN_TREE,,10,3,1,Commune with 1000 spirits without once losing yourself to them,,,,L,162,SUGGESTED,
raven_herald,Raven Herald,3,dark_acolyte,G,2,*,ANY_2STAR_IN_TREE,,10,3,1,Accumulate 1000 divine blessing through acts consistent with your creed,,,,L,162,SUGGESTED,
